id,title,year,country,duration,language,rating,revenue,budget
818,A Thin Line Between Love and Hate,1996.0,USA,108.0,English,R,34746109.0,8000000.0
819,A Time to Kill,1996.0,USA,149.0,English,R,108706165.0,40000000.0
820,Albino Alligator,1996.0,USA,97.0,English,R,326308.0,5000000.0
821,Basquiat,1996.0,USA,108.0,English,R,2961991.0,3300000.0
822,Beavis and Butt-Head Do America,1996.0,USA,81.0,English,PG-13,63071133.0,12000000.0
823,Blood and Wine,1996.0,USA,101.0,English,R,1075288.0,22000000.0
824,Bogus,1996.0,USA,110.0,English,PG,4357000.0,30000000.0
825,Bottle Rocket,1996.0,USA,91.0,English,R,1040879.0,7000000.0
826,Bound,1996.0,USA,109.0,English,R,3798532.0,4500000.0
827,Broken Arrow,1996.0,USA,108.0,English,R,70450000.0,50000000.0
828,Chain Reaction,1996.0,USA,107.0,English,PG-13,20550712.0,50000000.0
829,City Hall,1996.0,USA,111.0,English,R,20300000.0,40000000.0
830,Courage Under Fire,1996.0,USA,116.0,English,R,58918501.0,46000000.0
831,Daylight,1996.0,USA,114.0,English,PG-13,32885565.0,80000000.0
832,DragonHeart,1996.0,USA,103.0,English,PG-13,51317350.0,57000000.0
833,Eraser,1996.0,USA,115.0,English,R,101228120.0,100000000.0
834,Escape from L.A.,1996.0,USA,101.0,English,R,25407250.0,50000000.0
835,Everyone Says I Love You,1996.0,USA,101.0,English,R,9714482.0,20000000.0
836,Evita,1996.0,USA,135.0,English,PG,49994804.0,55000000.0
837,Executive Decision,1996.0,USA,133.0,English,R,68750000.0,55000000.0
838,Extreme Measures,1996.0,USA,118.0,English,R,17305211.0,38000000.0
839,Eye for an Eye,1996.0,USA,101.0,English,R,53146000.0,20000000.0
840,Faithful,1996.0,USA,91.0,English,R,2104000.0,13000000.0
841,Fled,1996.0,USA,105.0,English,R,17100000.0,25000000.0
842,Flipper,1996.0,USA,95.0,English,PG,20047715.0,25530000.0
843,Flirting with Disaster,1996.0,USA,92.0,English,R,14891000.0,7000000.0
844,Freeway,1996.0,USA,102.0,English,R,,3000000.0
845,From Dusk Till Dawn,1996.0,USA,108.0,English,R,25753840.0,19000000.0
846,Get on the Bus,1996.0,USA,120.0,English,R,5731103.0,2400000.0
847,Ghosts of Mississippi,1996.0,USA,130.0,English,PG-13,13052741.0,36000000.0
848,Girl 6,1996.0,USA,108.0,English,R,4903000.0,12000000.0
849,Hamlet,1996.0,UK,150.0,English,PG-13,4414535.0,18000000.0
850,Hamlet,1996.0,UK,150.0,English,PG-13,4414535.0,18000000.0
851,Happy Gilmore,1996.0,USA,92.0,English,PG-13,38624000.0,12000000.0
852,Harriet the Spy,1996.0,USA,100.0,English,PG,26539321.0,13000000.0
853,Independence Day,1996.0,USA,154.0,English,PG-13,306124059.0,75000000.0
854,Jerry Maguire,1996.0,USA,139.0,English,R,153620822.0,50000000.0
855,Jingle All the Way,1996.0,USA,94.0,English,PG,60573641.0,60000000.0
856,Kama Sutra: A Tale of Love,1996.0,USA,109.0,English,R,4109095.0,3000000.0
857,Kansas City,1996.0,France,116.0,English,R,1292527.0,19000000.0
858,Kingpin,1996.0,USA,117.0,English,PG-13,24944213.0,27000000.0
859,Lone Star,1996.0,USA,135.0,English,R,13269963.0,5000000.0
860,Love and Other Catastrophes,1996.0,Australia,76.0,English,R,212285.0,250000.0
861,Mars Attacks!,1996.0,USA,106.0,English,PG-13,37754208.0,70000000.0
862,Marvin's Room,1996.0,USA,98.0,English,PG-13,12782508.0,23000000.0
863,Mary Reilly,1996.0,USA,108.0,English,R,5600000.0,47000000.0
864,Maximum Risk,1996.0,USA,101.0,English,R,14095303.0,25000000.0
865,Michael Collins,1996.0,UK,133.0,English,R,11030963.0,28000000.0
866,Mission: Impossible,1996.0,USA,110.0,English,PG-13,180965237.0,80000000.0
867,Mrs. Winterbourne,1996.0,USA,105.0,English,PG-13,10070000.0,25000000.0
868,Multiplicity,1996.0,USA,117.0,English,PG-13,20101861.0,45000000.0
869,My Fellow Americans,1996.0,USA,101.0,English,PG-13,22294341.0,21500000.0
870,Phenomenon,1996.0,USA,123.0,English,PG,104632573.0,32000000.0
871,Ransom,1996.0,USA,139.0,English,R,136448821.0,80000000.0
872,Romeo + Juliet,1996.0,USA,120.0,English,PG-13,46338728.0,14500000.0
873,Scream,1996.0,USA,103.0,English,R,103001286.0,15000000.0
874,Set It Off,1996.0,USA,123.0,English,R,36049108.0,9000000.0
875,Sgt. Bilko,1996.0,USA,93.0,English,PG,30400000.0,39000000.0
876,She's the One,1996.0,USA,96.0,English,R,9449219.0,3500000.0
877,Shine,1996.0,Australia,105.0,English,PG-13,35811509.0,5500000.0
878,Silent Trigger,1996.0,Canada,88.0,English,R,,9000000.0
879,Sleepers,1996.0,USA,147.0,English,R,53300852.0,44000000.0
880,Sling Blade,1996.0,USA,148.0,English,R,24475416.0,890000.0
881,Space Jam,1996.0,USA,88.0,English,PG,90443603.0,80000000.0
882,Spy Hard,1996.0,USA,81.0,English,PG-13,26906039.0,18000000.0
883,Star Trek: First Contact,1996.0,USA,111.0,English,PG-13,92001027.0,45000000.0
884,Striptease,1996.0,USA,117.0,English,R,32800000.0,40000000.0
885,Swingers,1996.0,USA,96.0,English,R,4505922.0,200000.0
886,That Thing You Do!,1996.0,USA,149.0,English,PG,25809813.0,26000000.0
887,The Adventures of Pinocchio,1996.0,UK,90.0,Italian,G,15091542.0,25000000.0
888,The Cable Guy,1996.0,USA,96.0,English,PG-13,60154431.0,47000000.0
889,The Craft,1996.0,USA,101.0,English,R,24881000.0,15000000.0
890,The Dress,1996.0,Netherlands,95.0,Dutch,,,2650000.0
891,The English Patient,1996.0,USA,162.0,English,R,78651430.0,27000000.0
892,The Fan,1996.0,USA,116.0,English,R,18573791.0,55000000.0
893,The First Wives Club,1996.0,USA,103.0,English,PG,105444419.0,26000000.0
894,The Funeral,1996.0,USA,99.0,English,R,1227324.0,12500000.0
895,The Ghost and the Darkness,1996.0,USA,110.0,English,R,38553833.0,55000000.0
896,The Glimmer Man,1996.0,USA,91.0,English,R,20400913.0,45000000.0
897,The Hunchback of Notre Dame,1996.0,USA,91.0,English,G,100117603.0,100000000.0
898,The Island of Dr. Moreau,1996.0,USA,99.0,English,PG-13,27663982.0,40000000.0
899,The Juror,1996.0,USA,118.0,English,R,44834712.0,44000000.0
900,The Last Big Thing,1996.0,USA,98.0,English,R,22434.0,
901,The Long Kiss Goodnight,1996.0,USA,121.0,English,R,33328051.0,65000000.0
902,The Mirror Has Two Faces,1996.0,USA,122.0,English,PG-13,41252428.0,42000000.0
903,The Nutty Professor,1996.0,USA,95.0,English,PG-13,128769345.0,54000000.0
904,The Pallbearer,1996.0,USA,98.0,English,PG-13,,8000000.0
905,The Phantom,1996.0,Australia,100.0,English,PG,17300889.0,45000000.0
906,The Rock,1996.0,USA,136.0,English,R,134006721.0,75000000.0
907,Thinner,1996.0,USA,93.0,English,R,15171475.0,8500000.0
908,Tin Cup,1996.0,USA,135.0,English,R,53854588.0,45000000.0
909,Trainspotting,1996.0,UK,94.0,English,R,16501785.0,3500000.0
910,Trees Lounge,1996.0,USA,95.0,English,R,695229.0,1300000.0
911,Twister,1996.0,USA,113.0,English,PG-13,241688385.0,92000000.0
912,Up Close & Personal,1996.0,USA,124.0,English,PG-13,51045801.0,60000000.0
913,Waiting for Guffman,1996.0,USA,84.0,English,R,2892582.0,4000000.0
914,Walking and Talking,1996.0,UK,86.0,English,R,1277257.0,1000000.0
915,When the Cat's Away,1996.0,France,91.0,French,R,1652472.0,300000.0
916,White Squall,1996.0,USA,129.0,English,PG-13,10300000.0,38000000.0
917,24 7: Twenty Four Seven,1997.0,UK,96.0,English,R,,
918,8 Heads in a Duffel Bag,1997.0,USA,95.0,English,R,3559990.0,3000000.0
919,A Simple Wish,1997.0,USA,89.0,English,PG,8119205.0,28000000.0
920,Absolute Power,1997.0,USA,121.0,English,R,50007168.0,50000000.0
921,Air Bud,1997.0,USA,98.0,English,PG,24629916.0,3000000.0
922,Air Force One,1997.0,USA,124.0,English,R,172620724.0,85000000.0
923,Alien: Resurrection,1997.0,USA,116.0,English,R,47748610.0,75000000.0
924,Amistad,1997.0,USA,155.0,English,R,44175394.0,36000000.0
925,An Alan Smithee Film: Burn Hollywood Burn,1997.0,USA,86.0,English,R,15447.0,10000000.0
926,Anaconda,1997.0,USA,89.0,English,PG-13,65557989.0,45000000.0
927,Anastasia,1997.0,USA,94.0,English,G,58297830.0,50000000.0
928,As Good as It Gets,1997.0,USA,139.0,English,PG-13,147637474.0,50000000.0
929,Austin Powers: International Man of Mystery,1997.0,USA,68.0,English,PG-13,53868030.0,17000000.0
930,Batman & Robin,1997.0,USA,125.0,English,PG-13,107285004.0,125000000.0
931,Boogie Nights,1997.0,USA,155.0,English,R,26384919.0,15000000.0
932,Breakdown,1997.0,USA,93.0,English,R,50129186.0,36000000.0
933,Cats Don't Dance,1997.0,USA,75.0,English,G,3562749.0,32000000.0
934,Character,1997.0,Netherlands,122.0,Dutch,R,713413.0,4500000.0
935,Chasing Amy,1997.0,USA,113.0,English,R,12006514.0,250000.0
936,Children of Heaven,1997.0,Iran,89.0,Persian,PG,925402.0,180000.0
937,Clockwatchers,1997.0,UK,96.0,English,PG-13,444354.0,
938,Con Air,1997.0,USA,123.0,English,R,101087161.0,75000000.0
939,Conspiracy Theory,1997.0,USA,135.0,English,R,76081498.0,75000000.0
940,Contact,1997.0,USA,150.0,English,PG,100853835.0,90000000.0
941,Cop Land,1997.0,USA,120.0,English,R,44886089.0,10000000.0
942,Critical Care,1997.0,Australia,107.0,English,R,141853.0,12000000.0
943,Cube,1997.0,Canada,90.0,English,R,489220.0,365000.0
944,Dante's Peak,1997.0,USA,108.0,English,PG-13,67155742.0,116000000.0
945,Deconstructing Harry,1997.0,USA,96.0,English,R,10569071.0,20000000.0
946,DÃ©jÃ  Vu,1997.0,USA,117.0,English,PG-13,821997.0,
947,Donnie Brasco,1997.0,USA,147.0,English,R,41954997.0,35000000.0
948,Dream with the Fishes,1997.0,USA,97.0,English,R,464655.0,1000000.0
949,Eve's Bayou,1997.0,USA,109.0,English,R,14821531.0,6000000.0
950,Event Horizon,1997.0,UK,130.0,English,R,26616590.0,60000000.0
951,Face/Off,1997.0,USA,138.0,English,R,112225777.0,80000000.0
952,"First Love, Last Rites",1997.0,USA,94.0,English,R,40542.0,300000.0
953,Flubber,1997.0,USA,90.0,English,PG,92969824.0,80000000.0
954,G.I. Jane,1997.0,USA,125.0,English,R,48154732.0,50000000.0
955,Gattaca,1997.0,USA,106.0,English,PG-13,12339633.0,36000000.0
956,George of the Jungle,1997.0,USA,92.0,English,PG,105263257.0,55000000.0
957,Good Will Hunting,1997.0,USA,126.0,English,R,138339411.0,10000000.0
958,Grosse Pointe Blank,1997.0,USA,107.0,English,R,28014536.0,15000000.0
959,Hav Plenty,1997.0,USA,84.0,English,R,2301777.0,650000.0
960,How to Be a Player,1997.0,USA,93.0,English,R,13960203.0,
961,Hurricane Streets,1997.0,USA,86.0,English,R,334041.0,500000.0
962,I Know What You Did Last Summer,1997.0,USA,99.0,English,R,72219395.0,17000000.0
963,"I Love You, Don't Touch Me!",1997.0,USA,86.0,English,R,33598.0,
964,I Married a Strange Person!,1997.0,USA,75.0,English,R,203134.0,250000.0
965,In & Out,1997.0,USA,90.0,English,PG-13,63826569.0,35000000.0
966,In the Company of Men,1997.0,Canada,97.0,English,R,2856622.0,25000.0
967,Jackie Brown,1997.0,USA,154.0,English,R,39647595.0,12000000.0
968,Kiss the Girls,1997.0,USA,115.0,English,R,60491560.0,27000000.0
969,Kundun,1997.0,USA,134.0,English,PG-13,5532301.0,28000000.0
970,L.A. Confidential,1997.0,USA,138.0,English,R,64604977.0,35000000.0
971,Liar Liar,1997.0,USA,86.0,English,PG-13,181395380.0,45000000.0
972,Love and Death on Long Island,1997.0,UK,93.0,English,PG-13,2542264.0,
973,Love Jones,1997.0,USA,104.0,English,R,12514138.0,10000000.0
974,Mad City,1997.0,USA,115.0,English,PG-13,10556196.0,50000000.0
975,Men in Black,1997.0,USA,98.0,English,PG-13,250147615.0,90000000.0
976,Midnight in the Garden of Good and Evil,1997.0,USA,155.0,English,R,25078937.0,30000000.0
977,Money Talks,1997.0,USA,97.0,English,R,41067398.0,25000000.0
978,Mortal Kombat: Annihilation,1997.0,USA,95.0,English,PG-13,35927406.0,30000000.0
979,Mr. Nice Guy,1997.0,Hong Kong,86.0,English,PG-13,12674183.0,
980,My Best Friend's Wedding,1997.0,USA,105.0,English,PG-13,126805112.0,46000000.0
981,Nothing to Lose,1997.0,USA,98.0,English,R,44455658.0,25000000.0
982,Orgazmo,1997.0,USA,92.0,English,NC-17,582024.0,1000000.0
983,Oscar and Lucinda,1997.0,USA,132.0,English,R,1508689.0,16000000.0
984,Prefontaine,1997.0,USA,106.0,English,PG-13,532190.0,8000000.0
985,Princess Mononoke,1997.0,Japan,134.0,Japanese,PG-13,2298191.0,2400000000.0
986,Scream 2,1997.0,USA,120.0,English,R,101334374.0,24000000.0
987,Selena,1997.0,USA,127.0,English,PG,35422828.0,20000000.0
988,Seven Years in Tibet,1997.0,USA,136.0,English,PG-13,37901509.0,70000000.0
989,Shadow Conspiracy,1997.0,USA,103.0,English,R,2154540.0,45000000.0
990,Shooting Fish,1997.0,UK,99.0,English,PG,302204.0,3000000.0
991,Smilla's Sense of Snow,1997.0,Denmark,121.0,English,R,2221994.0,35000000.0
992,Snow White: A Tale of Terror,1997.0,USA,100.0,English,R,,26000000.0
993,Soul Food,1997.0,USA,115.0,English,R,43490057.0,7500000.0
994,Sparkler,1997.0,USA,90.0,English,R,5494.0,
995,Spawn,1997.0,USA,98.0,English,R,54967359.0,40000000.0
996,Speed 2: Cruise Control,1997.0,USA,121.0,English,PG-13,48068396.0,160000000.0
997,Spice World,1997.0,UK,93.0,English,PG,29247405.0,25000000.0
998,Starship Troopers,1997.0,USA,129.0,English,R,54700065.0,105000000.0
999,Steel,1997.0,USA,97.0,English,PG-13,1686429.0,16000000.0
1000,Switchback,1997.0,USA,118.0,English,R,6482195.0,37000000.0
1001,The Apostle,1997.0,USA,134.0,English,PG-13,20733485.0,5000000.0
1002,The Borrowers,1997.0,UK,89.0,English,PG,22359293.0,29000000.0
1003,The Chambermaid on the Titanic,1997.0,France,101.0,French,,244465.0,
1004,The Cure,1997.0,Japan,111.0,Japanese,,94596.0,1000000.0
1005,The Devil's Advocate,1997.0,USA,136.0,English,R,60984028.0,57000000.0
1006,The Devil's Own,1997.0,USA,111.0,English,R,42877165.0,86000000.0
1007,The Edge,1997.0,USA,117.0,English,R,27779888.0,
1008,The Fifth Element,1997.0,France,126.0,English,PG-13,63540020.0,93000000.0
1009,The Full Monty,1997.0,UK,91.0,English,R,45857453.0,3500000.0
1010,The Full Monty,1997.0,UK,91.0,English,R,45857453.0,3500000.0
1011,The Game,1997.0,USA,129.0,English,R,48265581.0,50000000.0
1012,The Ice Storm,1997.0,USA,112.0,English,R,7837632.0,18000000.0
1013,The Jackal,1997.0,USA,124.0,English,R,54910560.0,60000000.0
1014,The Last Time I Committed Suicide,1997.0,USA,92.0,English,R,12836.0,4000000.0
1015,The Lost World: Jurassic Park,1997.0,USA,129.0,English,PG-13,229074524.0,73000000.0
1016,The Man Who Knew Too Little,1997.0,USA,94.0,English,PG,13801755.0,20000000.0
1017,The Peacemaker,1997.0,USA,124.0,English,R,41256277.0,50000000.0
1018,The Postman,1997.0,USA,177.0,English,R,17593391.0,80000000.0
1019,The Rainmaker,1997.0,USA,135.0,English,PG-13,45856732.0,40000000.0
1020,The Relic,1997.0,UK,110.0,English,R,33927476.0,40000000.0
1021,The Saint,1997.0,USA,116.0,English,PG-13,61355436.0,68000000.0
1022,The Spanish Prisoner,1997.0,USA,110.0,English,PG,10200000.0,10000000.0
1023,The Sticky Fingers of Time,1997.0,USA,81.0,English,,18195.0,250000.0
1024,The Sweet Hereafter,1997.0,Canada,112.0,English,R,4306697.0,5000000.0
1025,The Swindle,1997.0,France,101.0,French,,231417.0,60000000.0
1026,Titanic,1997.0,USA,194.0,English,PG-13,658672302.0,200000000.0
1027,Tomorrow Never Dies,1997.0,UK,119.0,English,PG-13,125332007.0,110000000.0
1028,Trekkies,1997.0,USA,86.0,English,PG,617172.0,375000.0
1029,Turbulence,1997.0,USA,100.0,English,R,11466088.0,71000000.0
1030,Two Girls and a Guy,1997.0,USA,84.0,English,R,1950218.0,1000000.0
1031,Ulee's Gold,1997.0,USA,113.0,English,R,9054736.0,2700000.0
1032,Volcano,1997.0,USA,104.0,English,PG-13,47474112.0,90000000.0
1033,Wag the Dog,1997.0,USA,97.0,English,R,43022524.0,15000000.0
1034,Warriors of Virtue,1997.0,USA,101.0,English,PG,6448817.0,35000000.0
1035,20 Dates,1998.0,USA,87.0,English,R,536767.0,60000.0
1036,54,1998.0,USA,121.0,English,R,16574731.0,13000000.0
1037,A Bug's Life,1998.0,USA,95.0,English,G,162792677.0,120000000.0
1038,A Civil Action,1998.0,USA,115.0,English,PG-13,56702901.0,60000000.0
1039,A Night at the Roxbury,1998.0,USA,82.0,English,PG-13,30324946.0,17000000.0
1040,A Simple Plan,1998.0,UK,121.0,English,R,16311763.0,17000000.0
1041,American History X,1998.0,USA,101.0,English,R,6712241.0,7500000.0
1042,Among Giants,1998.0,UK,93.0,English,R,64359.0,2500000.0
1043,Antz,1998.0,USA,83.0,English,PG,90646554.0,105000000.0
1044,Armageddon,1998.0,USA,153.0,English,PG-13,201573391.0,140000000.0
1045,Babe: Pig in the City,1998.0,Australia,97.0,English,G,18318000.0,80000000.0
1046,Barney's Great Adventure,1998.0,Canada,76.0,English,G,11144518.0,15000000.0
1047,Beloved,1998.0,USA,172.0,English,R,22843047.0,55000000.0
1048,Blade,1998.0,USA,110.0,English,R,70001065.0,45000000.0
1049,Bride of Chucky,1998.0,Canada,89.0,English,R,32368960.0,25000000.0
1050,Broken Vessels,1998.0,USA,90.0,English,R,13493.0,600000.0
1051,Buffalo '66,1998.0,USA,110.0,English,R,2365931.0,1500000.0
1052,Bulworth,1998.0,USA,108.0,English,R,26525834.0,30000000.0
1053,Can't Hardly Wait,1998.0,USA,100.0,English,PG-13,25339117.0,10000000.0
1054,Celebrity,1998.0,USA,113.0,English,R,5032496.0,12000000.0
1055,Central Station,1998.0,Brazil,113.0,Portuguese,R,5595428.0,2900000.0
1056,Chairman of the Board,1998.0,USA,95.0,English,PG-13,306715.0,10000000.0
1057,City of Angels,1998.0,Germany,114.0,English,PG-13,78745923.0,55000000.0
1058,Clay Pigeons,1998.0,Germany,104.0,English,R,1789892.0,8000000.0
1059,"Dancer, Texas Pop. 81",1998.0,USA,97.0,English,PG,565592.0,
1060,Dark City,1998.0,Australia,111.0,English,R,14337579.0,27000000.0
1061,Dead Man on Campus,1998.0,USA,96.0,English,R,15062898.0,14000000.0
1062,Deep Impact,1998.0,USA,120.0,English,PG-13,140459099.0,75000000.0
1063,Deep Rising,1998.0,USA,106.0,English,R,11146409.0,45000000.0
1064,Desert Blue,1998.0,USA,90.0,English,R,99147.0,2000000.0
1065,Dirty Work,1998.0,Canada,82.0,English,PG-13,9975684.0,13000000.0
1066,Disturbing Behavior,1998.0,Australia,84.0,English,R,17411331.0,15000000.0
1067,Doctor Dolittle,1998.0,USA,85.0,English,PG-13,144156464.0,71500000.0
1068,Earth,1998.0,India,110.0,Hindi,Unrated,528972.0,
1069,Elizabeth,1998.0,UK,124.0,English,R,30012990.0,25000000.0
1070,Enemy of the State,1998.0,USA,140.0,English,R,111544445.0,90000000.0
1071,Ever After: A Cinderella Story,1998.0,USA,121.0,English,PG-13,65703412.0,26000000.0
1072,Fear and Loathing in Las Vegas,1998.0,USA,118.0,English,R,10562387.0,18500000.0
1073,Gods and Monsters,1998.0,USA,105.0,English,R,6390032.0,3500000.0
1074,Half Baked,1998.0,USA,82.0,English,R,17278980.0,8000000.0
1075,Happiness,1998.0,USA,134.0,English,,3000000.0,3000000.0
1076,Hard Rain,1998.0,USA,97.0,English,R,19819494.0,70000000.0
1077,He Got Game,1998.0,USA,136.0,English,R,21554585.0,25000000.0
1078,Holy Man,1998.0,USA,114.0,English,PG,12065985.0,60000000.0
1079,Home Fries,1998.0,USA,91.0,English,PG-13,10443316.0,15000000.0
1080,Hope Floats,1998.0,USA,114.0,English,PG-13,60033780.0,30000000.0
1081,How Stella Got Her Groove Back,1998.0,USA,124.0,English,R,37672350.0,20000000.0
1082,I Got the Hook Up,1998.0,USA,93.0,English,R,10305534.0,3500000.0
1083,I Still Know What You Did Last Summer,1998.0,USA,100.0,English,R,39989008.0,24000000.0
1084,Illuminata,1998.0,Spain,119.0,English,R,836641.0,
1085,Knock Off,1998.0,Aruba,91.0,English,R,10076136.0,35000000.0
1086,La otra conquista,1998.0,Mexico,106.0,Spanish,R,886410.0,3500000.0
1087,Les couloirs du temps: Les visiteurs II,1998.0,France,118.0,French,,146072.0,140000000.0
1088,Lethal Weapon 4,1998.0,USA,127.0,English,R,129734803.0,140000000.0
1089,Little Voice,1998.0,UK,97.0,English,R,4595000.0,
1090,Living Out Loud,1998.0,USA,100.0,English,R,12902790.0,12000000.0
1091,"Lock, Stock and Two Smoking Barrels",1998.0,UK,120.0,English,R,3650677.0,960000.0
1092,Lost in Space,1998.0,USA,130.0,English,PG-13,69102910.0,80000000.0
1093,Meet Joe Black,1998.0,USA,178.0,English,PG-13,44606335.0,90000000.0
1094,Meet the Deedles,1998.0,USA,93.0,English,PG,4308981.0,24000000.0
1095,Mercury Rising,1998.0,USA,111.0,English,R,32940507.0,60000000.0
1096,Mercury Rising,1998.0,USA,111.0,English,R,32940507.0,60000000.0
1097,Mighty Joe Young,1998.0,USA,114.0,English,PG,50628009.0,90000000.0
1098,Mulan,1998.0,USA,88.0,English,G,120618403.0,90000000.0
1099,Naturally Native,1998.0,USA,107.0,English,PG-13,10508.0,700000.0
1100,Next Stop Wonderland,1998.0,USA,104.0,English,R,3386698.0,1000000.0
1101,One True Thing,1998.0,USA,127.0,English,R,23209440.0,30000000.0
1102,Out of Sight,1998.0,USA,123.0,English,R,37339525.0,48000000.0
1103,Patch Adams,1998.0,USA,115.0,English,PG-13,135014968.0,50000000.0
1104,Pi,1998.0,USA,84.0,English,R,3216970.0,60000.0
1105,Practical Magic,1998.0,USA,104.0,English,PG-13,46611204.0,48000000.0
1106,Primary Colors,1998.0,France,143.0,English,R,38966057.0,65000000.0
1107,Ronin,1998.0,UK,122.0,English,R,41609593.0,55000000.0
1108,Rounders,1998.0,USA,121.0,English,R,22905674.0,12000000.0
1109,Run Lola Run,1998.0,Germany,81.0,German,R,7267324.0,3500000.0
1110,Rushmore,1998.0,USA,93.0,English,R,17096053.0,9000000.0
1111,Safe Men,1998.0,USA,88.0,English,R,21210.0,1000000.0
1112,Saving Private Ryan,1998.0,USA,169.0,English,R,216119491.0,70000000.0
1113,Shakespeare in Love,1998.0,USA,123.0,English,R,100241322.0,25000000.0
1114,Simon Birch,1998.0,USA,114.0,English,PG,18252684.0,30000000.0
1115,Six Days Seven Nights,1998.0,USA,98.0,English,PG-13,74329966.0,70000000.0
1116,Six-String Samurai,1998.0,USA,91.0,English,PG-13,124494.0,2000000.0
1117,Slam,1998.0,USA,100.0,English,R,982214.0,1000000.0
1118,Sliding Doors,1998.0,UK,99.0,English,R,11883495.0,9000000.0
1119,Slums of Beverly Hills,1998.0,USA,91.0,English,R,5480318.0,5000000.0
1120,Small Soldiers,1998.0,USA,108.0,English,PG-13,53955614.0,40000000.0
1121,Smoke Signals,1998.0,Canada,89.0,English,PG-13,6719300.0,2000000.0
1122,Snake Eyes,1998.0,USA,98.0,English,R,55585389.0,69000000.0
1123,Soldier,1998.0,UK,99.0,English,R,14567883.0,75000000.0
1124,Sphere,1998.0,USA,134.0,English,PG-13,36976367.0,75000000.0
1125,Star Trek: Insurrection,1998.0,USA,103.0,English,PG,70117571.0,58000000.0
1126,Stepmom,1998.0,USA,124.0,English,PG-13,91030827.0,50000000.0
1127,Stiff Upper Lips,1998.0,UK,94.0,English,R,69582.0,
1128,Tango,1998.0,Spain,115.0,Spanish,PG-13,1687311.0,700000000.0
1129,Taxman,1998.0,USA,104.0,English,R,,1000000.0
1130,The Big Hit,1998.0,USA,91.0,English,R,27052167.0,13000000.0
1131,The Big Lebowski,1998.0,USA,117.0,English,R,17439163.0,15000000.0
1132,The Big Swap,1998.0,UK,114.0,English,,,
1133,The Celebration,1998.0,Denmark,105.0,Danish,R,1647780.0,1300000.0
1134,The Faculty,1998.0,USA,104.0,English,R,40064955.0,15000000.0
1135,The Horse Whisperer,1998.0,USA,170.0,English,PG-13,75370763.0,60000000.0
1136,The Land Girls,1998.0,UK,111.0,English,R,146083.0,
1137,The Love Letter,1998.0,USA,99.0,English,Unrated,,
1138,The Love Letter,1998.0,USA,99.0,English,Unrated,,
1139,The Magic Sword: Quest for Camelot,1998.0,USA,86.0,English,G,22717758.0,40000000.0
1140,The Man in the Iron Mask,1998.0,USA,132.0,English,PG-13,56876365.0,35000000.0
1141,The Mask of Zorro,1998.0,USA,136.0,English,PG-13,93771072.0,65000000.0
1142,The Mighty,1998.0,USA,100.0,English,PG-13,2643689.0,
1143,The Negotiator,1998.0,Germany,140.0,English,R,44484065.0,50000000.0
1144,The Newton Boys,1998.0,USA,123.0,English,PG-13,10297897.0,27000000.0
1145,The Object of My Affection,1998.0,USA,111.0,English,R,29106737.0,15000000.0
1146,The Players Club,1998.0,USA,104.0,English,R,23031390.0,4500000.0
1147,The Prince of Egypt,1998.0,USA,99.0,English,PG,101217900.0,70000000.0
1148,The Red Violin,1998.0,Canada,130.0,French,R,9473382.0,10000000.0
1149,The Replacement Killers,1998.0,USA,96.0,English,R,18967571.0,30000000.0
1150,The Rugrats Movie,1998.0,USA,83.0,English,G,100491683.0,24000000.0
1151,The Siege,1998.0,USA,116.0,English,R,40932372.0,70000000.0
1152,The Thin Red Line,1998.0,USA,215.0,English,R,36385763.0,52000000.0
1153,The Truman Show,1998.0,USA,103.0,English,PG,125603360.0,60000000.0
1154,The Velocity of Gary,1998.0,USA,100.0,English,R,,4000000.0
1155,The Waterboy,1998.0,USA,90.0,English,PG-13,161487252.0,20000000.0
1156,The X Files,1998.0,USA,121.0,English,PG-13,83892374.0,66000000.0
1157,There's Something About Mary,1998.0,USA,107.0,English,R,176483808.0,23000000.0
1158,Urban Legend,1998.0,USA,99.0,English,R,38048637.0,14000000.0
1159,Vampires,1998.0,USA,104.0,English,R,20241395.0,20000000.0
1160,Velvet Goldmine,1998.0,UK,124.0,English,R,1043487.0,
1161,Very Bad Things,1998.0,USA,100.0,English,R,9801782.0,10000000.0
1162,Waking Ned Devine,1998.0,UK,91.0,English,PG,24788807.0,3000000.0
1163,What Dreams May Come,1998.0,USA,113.0,English,PG-13,55350897.0,85000000.0
1164,Wild Things,1998.0,USA,115.0,English,R,29753944.0,20000000.0
1165,Without Limits,1998.0,USA,117.0,English,PG-13,777423.0,25000000.0
1166,Woo,1998.0,USA,84.0,English,R,8026971.0,13000000.0
1167,You've Got Mail,1998.0,USA,119.0,English,PG,115731542.0,65000000.0
1168,Zero Effect,1998.0,USA,116.0,English,R,1980338.0,5000000.0
1169,10 Things I Hate About You,1999.0,USA,97.0,English,PG-13,38176108.0,16000000.0
1170,200 Cigarettes,1999.0,USA,101.0,English,R,6851636.0,6000000.0
1171,8MM,1999.0,Germany,123.0,English,R,36283504.0,40000000.0
1172,A Dog of Flanders,1999.0,USA,100.0,English,PG,2148212.0,7000000.0
1173,A Room for Romeo Brass,1999.0,UK,90.0,English,R,18434.0,
1174,A Walk on the Moon,1999.0,USA,107.0,English,R,4741987.0,14000000.0
